Questionnaire,Organization Number,Organization Name,City,Country,CDP Region,C40 City,GCoM City,Access,Assessment attachment and/or direct link,Confirm attachment/link provided,Boundary of assessment relative to jurisdiction boundary,Year of publication or approval,Factors considered in assessment,Primary author(s) of assessment,Does the city have adaptation goal(s) and/or an adaptation plan?,Population,Population Year,City Location,Last update
Cities 2022,31172,Mexico City,Mexico City,Mexico,Latin America,Yes,Yes,public,Ciudad Resiliente (Analisis de vulnerabilidad)_compressed.pdf,The assessment has been attached and can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: El estudio a pesar de ser elaborado por el Gobierno de la Ciudad de México, también contempla  la Zona Metropolitana del Valle de México, la cual está formada por 76 municipios de tres estados(Ciudad de México, Estado de México e Hidalgo)",2020,A process has been established for prioritizing identified hazards; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,"Consultant; Dedicated team within jurisdiction; Other, please specify: Es una publicación del Gobierno de la Ciudad de México, a través de la Secretaría de Gestión Integral de Riesgos y Protección Civil de la Ciudad de México.; Regional/ state/ provincial government",Adaptation goal(s) and adaptation plan,9041395,2018,POINT (-99.1332 19.4326),02/17/2023 03:20:42 AM
Cities 2022,13113,Newcastle City Council,Newcastle upon Tyne,United Kingdom of Great Britain and Northern Ireland,Europe,No,Yes,public,1.1a HLP05_4__A_Summary_of_Climate_Change_Risks_for_North_East_England_2012.pdf,The assessment has been attached and can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Covers the whole of the North East England region",2012,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security,Regional/ state/ provincial government,Adaptation goal(s) and adaptation plan,300200,2021,,02/17/2023 03:20:42 AM
Cities 2022,840269,"Town of Whitby, ON",Whitby,Canada,Canada,No,Yes,public,"CAO 33-21 Staff Report-Climate Change Master Plan - Town of Whitby.pdf, Town of Whitby Climate Emergency Response Plan_DRAFT_TOW__Implementation_Plan_FINAL.pdf, Town of Whitby Climate Emergency Response Plan_DRAFT_TOW_Executive-Summary_FINAL.pdf",The assessment has been attached,Same - covers entire jurisdiction and nothing else,2022,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security,Consultant; Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,136235,2018,,02/17/2023 03:20:42 AM
Cities 2022,31172,Mexico City,Mexico City,Mexico,Latin America,Yes,Yes,public,https://drive.google.com/file/d/12VAUp0tZ32pOYy2NuZLxWAVVXCZu4CEt/view?usp=sharing,The assessment can be accessed (unrestricted) on the link provided,"Partial - covers part of the jurisdiction and adjoining areas, please explain exclusions/additions: Alcance geográfico de lo general (nacional) a lo particular (contextos urbanos y Ciudad de México).",2021,Assessment considers transition risks; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,"Consultant; Other, please specify: Dr. Francisco Estrada, Centro de Ciencias de la Atmósfera de la Universidad Nacional Autónoma de México",Adaptation goal(s) and adaptation plan,9041395,2018,POINT (-99.1332 19.4326),02/17/2023 03:20:42 AM
Cities 2022,58871,"City of Salem, MA",Salem,United States of America,United States of America,No,Yes,public,https://www.salem.com/sites/g/files/vyhlif3756/f/uploads/salemclimatechangeplan_online.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2014,Assessment considers vulnerable populations,Consultant; Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,44480,2021,POINT (-70.8967 42.5195),02/17/2023 03:20:42 AM
Cities 2022,31009,Copenhagen Municipality,Copenhagen,Denmark,Europe,Yes,Yes,public,https://international.kk.dk/sites/default/files/2021-09/Cloudburst%20Management%20plan%202010.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2012,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Dedicated team within jurisdiction; Regional/ state/ provincial government,Adaptation goal(s),644425,2022,POINT (12.5683 55.6761),02/17/2023 03:20:42 AM
Cities 2022,58595,Municipalidad de Belén,Belén,Costa Rica,Latin America,No,Yes,public,Plan de acción_CantonBelén_RCentral (1).pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2022,A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Community group; Consultant; Dedicated team within jurisdiction; National/ central government; Regional/ state/ provincial government,Adaptation goal(s) and adaptation plan,24000,2017,POINT (-84.1503 10.0035),02/17/2023 03:20:42 AM
Cities 2022,60337,Prefeitura de Quissamã,,Brazil,Latin America,No,Yes,public,,Unable to provide an attachment and/or direct link to the assessment,Same - covers entire jurisdiction and nothing else,2020,,,Adaptation goal(s),0,,,02/17/2023 03:20:42 AM
Cities 2022,54699,Prefeitura Municipal de Barueri,Barueri,Brazil,Latin America,No,No,public,Cambio Climatico en Sao Paulo-web.pdf,The assessment has been attached,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: O estudo foi feito para os municípios integrantes do CIOESTE - Consórcio Intermunicipal da Região Oeste Metropolitana de São Paulo",2018,A process has been established for prioritizing identified hazards,Question not applicable,Adaptation goal(s),279704,2021,,02/17/2023 03:20:42 AM
Cities 2022,834374,Tagum City,,Philippines,Southeast Asia,No,No,public,Climate Disaster Risk Assessment.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2019,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Question not applicable,Adaptation goal(s) and adaptation plan,312324,2022,,02/17/2023 03:20:42 AM
Cities 2022,50397,Presidencia Municipal de Saltillo,,Mexico,Latin America,No,Yes,public,http://implansaltillo.mx/files_publicaciones/archivo_publicacion_20.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2015,Assessment considers vulnerable populations; Assessment considers water security,Dedicated team within jurisdiction; National/ central government,Adaptation goal(s) and adaptation plan,879958,2020,,02/17/2023 03:20:42 AM
Cities 2022,862946,Manta,Manta,Ecuador,Latin America,No,Yes,public,AGENDA DE RIESGO MANTA OFICIAL.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2020,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,217600,2010,,02/17/2023 03:20:42 AM
Cities 2022,52896,"City of Fort Lauderdale, FL",Fort Lauderdale,United States of America,United States of America,No,No,public,https://www.fortlauderdale.gov/government/departments-i-z/public-works/engineering-division/master-plans-reports,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,,,,Adaptation goal(s),186076,2021,,02/17/2023 03:20:42 AM
Cities 2022,59532,"City of Hoboken, NJ",,United States of America,United States of America,No,No,public,http://www.hudsoncountynj.org/hudson-county-hazard-mitigation-planning-2020-draft-plan/,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The jurisdiction boundary includes most areas of Hudson County.",2020,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers water security,Question not applicable,Adaptation goal(s) and adaptation plan,60419,2020,,02/17/2023 03:20:42 AM
Cities 2022,74488,"City of Beverly, MA",,United States of America,United States of America,No,No,public,https://resilient-together.org/action-plan,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Salem, MA",2021,,,Adaptation goal(s) and adaptation plan,0,,,02/17/2023 03:20:42 AM
Cities 2022,44194,Jeonju City,Jeonju-si,Republic of Korea,East Asia,No,Yes,public,제2차 전주시 기후변화 적응대책 세부시행계획 수립 용역보고서v12.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2020,A process has been established for prioritizing identified hazards,Relevant department within jurisdiction,Adaptation plan,657269,2021,,02/17/2023 03:20:42 AM
Cities 2022,848981,City of Ormoc,,Philippines,Southeast Asia,No,Yes,public,https://drive.google.com/drive/folders/12Lsr-o7ITOVP7wiyJj_00_asLf_vcoYs?usp=sharing,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2019,Assessment considers nature; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Dedicated team within jurisdiction; International organization,Adaptation goal(s) and adaptation plan,230998,2020,,02/17/2023 03:20:42 AM
Cities 2022,20113,"City of Vancouver, BC",Vancouver,Canada,Canada,Yes,Yes,public,https://vancouver.ca/files/cov/CFRA-phase-2-final-report-oct-2016-revision.pdf,The assessment has been attached and can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2016,"Assessment considers vulnerable populations; Identified hazards have been incorporated into the jurisdictions overall risk management framework; Other, please specify: Energy, Water, Supply & Sanitation, Transport, Waste Management, Environment, Biodiversity, Forestry, Industrial, Commercial, Residential, Public health, Community & Culture, Emergency Management, Land use planning",Consultant,Adaptation goal(s) and adaptation plan,654000,2020,POINT (-123.114 49.2612),02/17/2023 03:20:42 AM
Cities 2022,59532,"City of Hoboken, NJ",,United States of America,United States of America,No,No,public,https://www.nj.gov/dep/floodresilience/rbd-hudsonriver-fs.htm,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: City of Hoboken and the southern portion of Weehawken (Lincoln Harbor area) and the northern portion of Jersey City immediately adjacent to New Jersey Transit Hoboken Terminal, is vulnerable to two interconnected types of flooding.",2017,Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Question not applicable,Adaptation goal(s) and adaptation plan,60419,2020,,02/17/2023 03:20:42 AM
Cities 2022,834313,Municipality of Tópaga,,Colombia,Latin America,No,Yes,public,"RIESGO CC TOPAGA (1).pdf, WhatsApp Image 2022-07-27 at 5.14.48 PM.jpeg",The assessment has been attached,Same - covers entire jurisdiction and nothing else,2018,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security,Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,3689,2022,,02/17/2023 03:20:42 AM
Cities 2022,74462,"Village of Oak Park, IL",,United States of America,United States of America,No,No,public,https://storymaps.arcgis.com/stories/0e9409d4dc20452bbbee6fc35df0ff81,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2022,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Relevant department within jurisdiction,Adaptation plan,54583,2020,,02/17/2023 03:20:42 AM
Cities 2022,35893,City of Dar es Salaam,Dar es Salaam,United Republic of Tanzania,Africa,Yes,Yes,public,https://www.climatelearningplatform.org/sites/default/files/resources/tanzania_country_climate_risk_assessment_report_-final_version.pdf,The assessment has been attached,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Assessment cover the entire region",2018,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security,Dedicated team within jurisdiction,Adaptation plan,6400000,2020,POINT (39.2083 -6.79235),02/17/2023 03:20:42 AM
Cities 2022,827047,Fuzhou Municipal People's Government,,China,East Asia,Yes,No,public,,Unable to provide an attachment and/or direct link to the assessment,Same - covers entire jurisdiction and nothing else,,,,Incomplete report,8420000,2021,,02/17/2023 03:20:42 AM
Cities 2022,46470,Municipality of Vitoria-Gasteiz,Vitoria-Gasteiz,Spain,Europe,No,Yes,public,MEMORIA PACES - 20220411.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2022,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,254455,2021,POINT (-2.67 42.84),02/17/2023 03:20:42 AM
Cities 2022,64014,"City of Cupertino, CA",Cupertino,United States of America,United States of America,No,Yes,public,https://www.cupertino.org/home/showpublisheddocument/31683/637964240923930000,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2022,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security,Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,63228,2018,POINT (-122.032 37.323),02/17/2023 03:20:42 AM
Cities 2022,31117,"City of Toronto, ON",Toronto,Canada,Canada,Yes,Yes,public,https://trca.ca/conservation/flood-risk-management/understand/,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Ontario municipalities participate in Conservation Authorities, entities delineated by watersheds not political boundaries.",1990,"Assessment considers nature; Other, please specify: Flood risk to people and property","Other, please specify: Toronto and Region Conservation Authority: Ontario municipalities participate in Conservation Authorities, entities delineated by watersheds not political boundaries. Toronto is supported by TRCA.",Adaptation goal(s) and adaptation plan,2794356,2021,POINT (-79.3832 43.6532),02/17/2023 03:20:42 AM
Cities 2022,58636,"City of Bellingham, WA",Bellingham,United States of America,United States of America,No,Yes,public,CCAdaptationPlan2012Rotated (1).pdf,The assessment has been attached,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions",2022,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers transition risks; Assessment considers water security; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction,Adaptation goal(s),90620,2021,POINT (-122.479 48.7519),02/17/2023 03:20:42 AM
Cities 2022,50571,"City of Victoria, BC",Victoria,Canada,Canada,No,Yes,public,City of Victoria - Climate Risk Assessment Summary Report (2019).pdf,The assessment has been attached,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The risk assessment covers all of the City of Victoria, and includes consideration of cross-jurisdictional risks such as wildland-urban interface fire,  flooding, and water supply (quality and quantity).",2019,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario,Consultant; Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,91867,2021,POINT (-123.366 48.4284),02/17/2023 03:20:42 AM
Cities 2022,54100,"City of Columbia, MO","Columbia, MO",United States of America,United States of America,No,Yes,public,CoMoCAAP_VAfactsheets_OpenSpace_final.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2018,,,Adaptation goal(s) and adaptation plan,122659,2020,POINT (-92.3341 38.9517),02/17/2023 03:20:42 AM
Cities 2022,31182,"City of San Francisco, CA",San Francisco,United States of America,United States of America,Yes,Yes,public,https://sfgov.maps.arcgis.com/apps/MapJournal/index.html?appid=093e26ddb26a4e3180fa1e35158858bf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2019,Assessment considers vulnerable populations,Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,873965,2020,POINT (-122.419 37.7749),02/17/2023 03:20:42 AM
Cities 2022,44187,Goyang City,Goyang-si,Republic of Korea,East Asia,No,Yes,public,제2차 고양시 기후변화 적응대책 세부시행계획 최종보고서(2019_2023).pdf,The assessment has been attached and can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2019,"A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework; Other, please specify: Goyang city has also evaluated vulnerabilities of Health, Disaster, Agriculture and  Forest.","Other, please specify: The paper was written by research institute(Ecopi) and published by Goyang city.",Adaptation goal(s) and adaptation plan,1078559,2022,,02/17/2023 03:20:42 AM
Cities 2022,50361,Ayuntamiento de Hermosillo,Hermosillo,Mexico,Latin America,No,Yes,public,IMPLAN Atlas de Riesgo 20190617 REDUX.pdf,The assessment has been attached,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The study includes the entire municipality of Hermosillo (rural and urban areas) in the State of Sonora in Mexico, with a population of over 830,000 inhabitants in 2015.",2014,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,936263,2020,POINT (-110.961 29.0892),02/17/2023 03:20:42 AM
Cities 2022,31111,Tokyo Metropolitan Government,Tokyo,Japan,East Asia,Yes,Yes,public,https://www.bousai.metro.tokyo.lg.jp/_res/projects/default_project/_page_/001/000/360/202102/1.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2021,A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,14016946,2022,POINT (139.41 35.41),02/17/2023 03:20:42 AM
Cities 2022,31180,Región Metropolitana de Santiago,Santiago,Chile,Latin America,Yes,Yes,public,plan_nacional_climatico_2017_2.pdf,The assessment has been attached and can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Plan de Accion",2017,A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario,"National/ central government; Other, please specify: Consejo de Ministros para la Sustentabilidad y el Cambio Climático",Adaptation goal(s),8310984,2022,POINT (-70.6693 -33.4489),02/17/2023 03:20:42 AM
Cities 2022,73759,Jambi City,,Indonesia,Southeast Asia,No,Yes,public,RAD ADAPTASI KOTA JAMBI_final (1).pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2016,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,International organization; Regional/ state/ provincial government,Adaptation goal(s) and adaptation plan,612162,2021,,02/17/2023 03:20:42 AM
Cities 2022,60281,Prefeitura de Caucaia,,Brazil,Latin America,No,No,public,PRODUTO 02-3 - RELATORIODEVULNERABILIDADE_NOVEMBRO2021-2_MM04_compressed.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2021,"Other, please specify: Indicadores de Exposição, Sensibilidade e Capacidade de Adaptação",Question not applicable,Adaptation goal(s),368918,2021,,02/17/2023 03:20:42 AM
Cities 2022,54408,Aarhus Municipality,Aarhus,Denmark,Europe,No,Yes,public,https://www.aarhus.dk/media/55658/klimatilpasningsstrategi-aarhus-med-mere-blaat-2020.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2020,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers water security; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,355238,2022,POINT (10.1374 56.1684),02/17/2023 03:20:42 AM
